purple rain
miles davis
beyonce
moon
amy winehouse
marsha p johnson
maya angelou
untamed romania
john coltrane
frye
lady bloodfight
furie
monty python holy grail
disobedience
freeheld 
pariah 
mosquita y mari
saving face

